,endTime,artistName,trackName,msPlayed,track_id,artist_name_track,artist_pop,album,track_pop,genre_0,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
41,17/03/2023 22:16,P!nk,U + Ur Hand,214386,1iOJQhxKSJ7dg3Dk03yPnl,P!nk,83,I'm Not Dead,68,dance pop,pop,,,,,,,,0.709,0.891,-3.688,0.0528,0.00144,0,0.034,0.886,141.04,214387,4
42,17/03/2023 22:12,P!nk,Who Knew,208493,2hns6Dv29Yrg68AVTJiAyA,P!nk,83,I'm Not Dead,76,dance pop,pop,,,,,,,,0.688,0.734,-4.569,0.0274,0.00462,0,0.0756,0.46,140.004,208493,4
43,17/03/2023 22:09,P!nk,"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",215413,7K5dzhGda2vRTaAWYI3hrb,P!nk,83,"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",70,dance pop,pop,,,,,,,,0.632,0.702,-5.92,0.148,0.0114,0,0.108,0.523,162.958,215414,4
44,17/03/2023 22:05,Dance Fruits Music,Cola,36947,0OXn0cXGNw2N3dHSeQeHzA,Dance Fruits Music,76,Cola,56,lo-fi product,,,,,,,,,0.713,0.729,-7.725,0.0517,0.149,0.012,0.084,0.423,122.072,120984,4
45,17/03/2023 16:14,Dance Fruits Music,Rise Up,111072,0tV8pOpiNsKqUys0ilUcXz,Andra Day,57,Cheers to the Fall,73,r&b,,,,,,,,,0.398,0.316,-7.031,0.0368,0.805,0,0.295,0.174,118.582,253342,4
46,17/03/2023 16:12,Dance Fruits Music,Cha Cha Slide,127059,0RC2B9uIITHA0wtDFfQk3K,DJ Casper,43,Cha Cha Slide,52,,,,,,,,,,0.978,0.691,-5.787,0.218,0.00148,7.99E-05,0.28,0.482,122.026,387493,4
47,17/03/2023 16:10,Dance Fruits Music,Cups,136568,6PdFFQZ2BNMCpZ48oLPHW5,Dance Fruits Music,76,Cups,55,lo-fi product,,,,,,,,,0.7,0.739,-6.814,0.0399,0.0372,0.000299,0.124,0.475,123.002,136568,4
48,17/03/2023 16:08,Shouse,Love Tonight (David Guetta Remix Edit),7327,2prnn41CblB8B4yWACDljP,Shouse,69,Love Tonight (David Guetta Remix),80,aussietronica,,,,,,,,,0.621,0.989,-4.225,0.0434,0.015,0.357,0.184,0.0348,126.002,158095,4
49,17/03/2023 15:58,Dance Fruits Music,Drunken Sailor (Sea Shanty),147540,7nkkmnKIm0ENXaAAw0Bq6J,Dance Fruits Music,76,Drunken Sailor (Sea Shanty),57,lo-fi product,,,,,,,,,0.723,0.8,-4.863,0.033,0.0222,0,0.139,0.831,121.92,147541,4
50,17/03/2023 15:55,Gabry Ponte,Thunder,160000,2USlegnFJLrVLpoVfPimKB,Gabry Ponte,74,Thunder,80,eurodance,italo dance,slap house,,,,,,,0.67,0.896,-4.673,0.058,0.0342,3.21E-05,0.344,0.403,101.216,160000,3
51,17/03/2023 15:53,Eros Ramazzotti,Una Emocion para Siempre,21219,32TxjkRcmXd3BNqBPIFMPN,Eros Ramazzotti,70,9 (Spanish Version),62,italian adult pop,mexican pop,,,,,,,,0.682,0.843,-4.488,0.0292,0.116,1.43E-05,0.291,0.862,119.869,236587,4
52,17/03/2023 15:52,MEDUZA,Bad Memories,148629,3rb0tMq42WfggucPm0HHkA,MEDUZA,78,Bad Memories (feat. Elley Duhé & FAST BOY),86,pop dance,pop house,uk dance,,,,,,,0.607,0.767,-6.069,0.0474,0.118,0,0.122,0.662,123.998,148629,3
53,17/03/2023 15:50,Dance Fruits Music,"Calabria (feat. Fallen Roses, Lujavo & Lunis) - Shift K3Y Edit",156190,6MKuYvesr8p8csU9jt5Roa,Dance Fruits Music,76,Dance Fruits Music,64,lo-fi product,,,,,,,,,0.727,0.904,-3.408,0.064,0.0153,0.55,0.0963,0.372,124.02,128500,4
54,17/03/2023 15:50,MELON,Blue (Da Ba Dee),29198,5WyD2lZhEeTNg91oEF0TYK,MELON,73,Blue (Da Ba Dee),64,lo-fi cover,slap house,,,,,,,,0.772,0.871,-4.267,0.0389,0.0938,0.248,0.097,0.323,124.975,132480,4
55,17/03/2023 15:50,Öwnboss,Move Your Body,990,6GomT970rCOkKAyyrwJeZi,Öwnboss,67,Move Your Body,80,brazilian edm,,,,,,,,,0.848,0.821,-5.408,0.0527,0.0169,0.000403,0.0962,0.249,125.051,157445,4
56,17/03/2023 15:46,Dance Fruits Music,SUMMER JAM,1850,6FhhABinxDtRNKsicIv1EF,Dance Fruits Music,76,SUMMER JAM,56,lo-fi product,,,,,,,,,0.665,0.896,-6.446,0.0439,0.0989,4.80E-06,0.423,0.202,125.02,142080,4
57,17/03/2023 15:46,Dance Fruits Music,The Rhythm Of The Night,61910,1BXfDqPvs6SJbAcOEK40Z3,MELON,73,The Rhythm of the Night,66,lo-fi cover,slap house,,,,,,,,0.637,0.917,-5.155,0.0517,0.0032,0.566,0.294,0.104,128.018,189375,4
58,17/03/2023 15:46,Alesso,When I’m Gone (with Katy Perry),1360,5902W4uHWzhtOff1UK7the,Alesso,76,When I’m Gone (with Katy Perry),78,dance pop,edm,pop,pop dance,tropical house,,,,,0.685,0.886,-4.179,0.034,0.028,0,0.481,0.615,125.034,161267,4
59,17/03/2023 15:46,Dance Fruits Music,Hello,1340,4yKN43pgKLGsoGZWpHpW5A,Dance Fruits Music,76,Better Off Alone,62,lo-fi product,,,,,,,,,0.596,0.954,-3.751,0.0402,0.00142,0.243,0.239,0.266,131.964,155559,4
60,17/03/2023 15:46,Tiësto,Don't Be Shy,2830,0bI7K9Becu2dtXK1Q3cZNB,Tiësto,85,Don't Be Shy,81,big room,brostep,dutch edm,edm,house,pop dance,slap house,trance,,0.77,0.787,-3.748,0.0583,0.198,0,0.262,0.513,119.986,140500,4
61,17/03/2023 15:46,Dance Fruits Music,Better Off Alone,1130,4yKN43pgKLGsoGZWpHpW5A,Dance Fruits Music,76,Better Off Alone,62,lo-fi product,,,,,,,,,0.596,0.954,-3.751,0.0402,0.00142,0.243,0.239,0.266,131.964,155559,4
62,17/03/2023 15:46,Dance Fruits Music,STAY,2250,4jtxk24eyUY3F9y3ucjxe0,Maurice Williams & The Zodiacs,48,Maurice Williams and The Zodiacs,63,,,,,,,,,,0.419,0.681,-11.137,0.04,0.777,0,0.255,0.788,118.904,99213,4
63,17/03/2023 15:45,Dance Fruits Music,Drunken Sailor (Sea Shanty),147540,7nkkmnKIm0ENXaAAw0Bq6J,Dance Fruits Music,76,Drunken Sailor (Sea Shanty),57,lo-fi product,,,,,,,,,0.723,0.8,-4.863,0.033,0.0222,0,0.139,0.831,121.92,147541,4
64,17/03/2023 15:45,Dance Fruits Music,The Rhythm Of The Night,1160,1BXfDqPvs6SJbAcOEK40Z3,MELON,73,The Rhythm of the Night,66,lo-fi cover,slap house,,,,,,,,0.637,0.917,-5.155,0.0517,0.0032,0.566,0.294,0.104,128.018,189375,4
65,17/03/2023 15:45,Dance Fruits Music,STAY,2190,4jtxk24eyUY3F9y3ucjxe0,Maurice Williams & The Zodiacs,48,Maurice Williams and The Zodiacs,63,,,,,,,,,,0.419,0.681,-11.137,0.04,0.777,0,0.255,0.788,118.904,99213,4
66,17/03/2023 15:45,Shouse,Love Tonight (David Guetta Remix Edit),7987,2prnn41CblB8B4yWACDljP,Shouse,69,Love Tonight (David Guetta Remix),80,aussietronica,,,,,,,,,0.621,0.989,-4.225,0.0434,0.015,0.357,0.184,0.0348,126.002,158095,4
67,17/03/2023 15:45,ATB,Your Love (9PM),1280,5YaskwnGDZFDRipaqzbwQx,ATB,64,Your Love (9PM),78,german dance,german techno,german trance,trance,,,,,,0.669,0.784,-5.603,0.112,0.194,6.28E-06,0.115,0.517,125.993,150053,4
68,17/03/2023 15:42,Gabry Ponte,Thunder,160000,2USlegnFJLrVLpoVfPimKB,Gabry Ponte,74,Thunder,80,eurodance,italo dance,slap house,,,,,,,0.67,0.896,-4.673,0.058,0.0342,3.21E-05,0.344,0.403,101.216,160000,3
69,17/03/2023 15:40,Tiësto,Don't Be Shy,39910,0bI7K9Becu2dtXK1Q3cZNB,Tiësto,85,Don't Be Shy,81,big room,brostep,dutch edm,edm,house,pop dance,slap house,trance,,0.77,0.787,-3.748,0.0583,0.198,0,0.262,0.513,119.986,140500,4
70,17/03/2023 14:05,Dance Fruits Music,SUMMER JAM,1090,6FhhABinxDtRNKsicIv1EF,Dance Fruits Music,76,SUMMER JAM,56,lo-fi product,,,,,,,,,0.665,0.896,-6.446,0.0439,0.0989,4.80E-06,0.423,0.202,125.02,142080,4
71,17/03/2023 14:05,Shouse,Love Tonight (David Guetta Remix Edit),158095,2prnn41CblB8B4yWACDljP,Shouse,69,Love Tonight (David Guetta Remix),80,aussietronica,,,,,,,,,0.621,0.989,-4.225,0.0434,0.015,0.357,0.184,0.0348,126.002,158095,4
72,17/03/2023 14:05,Dance Fruits Music,The Rhythm Of The Night,1510,1BXfDqPvs6SJbAcOEK40Z3,MELON,73,The Rhythm of the Night,66,lo-fi cover,slap house,,,,,,,,0.637,0.917,-5.155,0.0517,0.0032,0.566,0.294,0.104,128.018,189375,4
73,17/03/2023 14:05,ATB,Your Love (9PM),29841,5YaskwnGDZFDRipaqzbwQx,ATB,64,Your Love (9PM),78,german dance,german techno,german trance,trance,,,,,,0.669,0.784,-5.603,0.112,0.194,6.28E-06,0.115,0.517,125.993,150053,4
74,17/03/2023 14:05,Dance Fruits Music,STAY,4410,4jtxk24eyUY3F9y3ucjxe0,Maurice Williams & The Zodiacs,48,Maurice Williams and The Zodiacs,63,,,,,,,,,,0.419,0.681,-11.137,0.04,0.777,0,0.255,0.788,118.904,99213,4
75,17/03/2023 14:02,Dance Fruits Music,Drunken Sailor (Sea Shanty),147540,7nkkmnKIm0ENXaAAw0Bq6J,Dance Fruits Music,76,Drunken Sailor (Sea Shanty),57,lo-fi product,,,,,,,,,0.723,0.8,-4.863,0.033,0.0222,0,0.139,0.831,121.92,147541,4
76,17/03/2023 14:00,Gabry Ponte,Thunder,160000,2USlegnFJLrVLpoVfPimKB,Gabry Ponte,74,Thunder,80,eurodance,italo dance,slap house,,,,,,,0.67,0.896,-4.673,0.058,0.0342,3.21E-05,0.344,0.403,101.216,160000,3
77,17/03/2023 13:57,Gabry Ponte,Thunder,160000,2USlegnFJLrVLpoVfPimKB,Gabry Ponte,74,Thunder,80,eurodance,italo dance,slap house,,,,,,,0.67,0.896,-4.673,0.058,0.0342,3.21E-05,0.344,0.403,101.216,160000,3
78,17/03/2023 13:57,Dance Fruits Music,Drunken Sailor (Sea Shanty),16638,7nkkmnKIm0ENXaAAw0Bq6J,Dance Fruits Music,76,Drunken Sailor (Sea Shanty),57,lo-fi product,,,,,,,,,0.723,0.8,-4.863,0.033,0.0222,0,0.139,0.831,121.92,147541,4
79,17/03/2023 13:54,Dance Fruits Music,Cola,120983,0OXn0cXGNw2N3dHSeQeHzA,Dance Fruits Music,76,Cola,56,lo-fi product,,,,,,,,,0.713,0.729,-7.725,0.0517,0.149,0.012,0.084,0.423,122.072,120984,4
80,17/03/2023 13:54,Dance Fruits Music,One More Time,9310,0DiWol3AO6WpXZgp0goxAV,Daft Punk,82,Discovery,78,electro,filter house,rock,,,,,,,0.613,0.697,-8.618,0.133,0.0194,0,0.332,0.476,122.746,320357,4
81,17/03/2023 13:54,Dance Fruits Music,Freed From Desire,1590,2CHSibzpTy36TLOWOE1jeh,MELON,73,Freed From Desire,59,lo-fi cover,slap house,,,,,,,,0.726,0.832,-5.995,0.0632,0.0865,0.023,0.36,0.539,126.023,149286,4
82,17/03/2023 13:54,Riton,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,1150,4cG7HUWYHBV6R6tHn1gxrl,Riton,68,Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],81,house,pop dance,uk dance,,,,,,,0.824,0.862,-3.424,0.126,0.0076,0.000132,0.303,0.801,122.98,169153,4
83,17/03/2023 13:52,Dance Fruits Music,Rise Up,111072,0tV8pOpiNsKqUys0ilUcXz,Andra Day,57,Cheers to the Fall,73,r&b,,,,,,,,,0.398,0.316,-7.031,0.0368,0.805,0,0.295,0.174,118.582,253342,4
84,17/03/2023 13:50,Dance Fruits Music,Cha Cha Slide,127059,0RC2B9uIITHA0wtDFfQk3K,DJ Casper,43,Cha Cha Slide,52,,,,,,,,,,0.978,0.691,-5.787,0.218,0.00148,7.99E-05,0.28,0.482,122.026,387493,4
